"Business Name","Email","Website","Address","Phone","LinkedIn","Facebook","Instagram","Twitter/X","Notes"
"Marina Commercial Park","","mcpcork.ie","Centre Park Rd, Ballintemple, Cork, Ireland","(021) 431 3466","https://www.linkedin.com/company/marina-commercial-park","https://www.facebook.com/MarinaCommercialPark","https://www.instagram.com/marinacommercialpark","https://twitter.com/mcpcork","Contact form only"
"Malwarebytes (Cork)","","malwarebytes.com","One Albert Quay, Ballintemple, Cork, Ireland","","https://www.linkedin.com/company/malwarebytes","https://www.facebook.com/Malwarebytes","https://www.instagram.com/malwarebytesofficial","https://x.com/malwarebytes","Global HQ accounts; YT + TT"
"Eurolink International Business Development","joe.mannion@eurolink.com","eurolink.com","Cork City, Ballintemple, Cork, Ireland","(021) 455 1909","https://www.linkedin.com/in/eurolink","https://www.facebook.com/EurolinkInternational","https://www.instagram.com/eurolinkintl","https://twitter.com/eurolink","YT"
"Glandore Office Cork","info@glandore.ie","glandore.co","City Quarter, Lapp's Quay, Centre, Cork, Ireland","(021) 424 4100","https://www.linkedin.com/company/glandore-business-centres","https://www.facebook.com/GlandoreNetwork","https://www.instagram.com/glandorenetwork","https://twitter.com/GlandoreNetwork","TT"
"Deloitte Cork","","deloitte.com/ie","6 Lapp's Quay, Centre, Cork, T12 VY7W, Ireland","(021) 490 7000","https://www.linkedin.com/company/deloitte","https://www.facebook.com/Deloitteie","https://www.instagram.com/deloitte_ireland","https://twitter.com/DeloitteIreland","Ireland accounts; YT + TT"
"Grant Thornton Ireland","","grantthornton.ie","Penrose One, Penrose Dock, Victorian Quarter, Cork, T23 YY09, Ireland","(021) 494 9450","https://www.linkedin.com/company/grant-thornton-ireland","https://www.facebook.com/GrantThorntonIreland","https://www.instagram.com/grantthorntonie","https://twitter.com/GrantThorntonIE","Ireland accounts; YT + TT"
"Malting Company of Ireland Limited","info@maltingcompany.ie","maltingcompany.ie","Togher, South Link Business Park, Cork, Ireland","(021) 432 3375","","https://www.facebook.com/MaltingCompanyIreland","https://www.instagram.com/maltingcompanyireland","","No LinkedIn or Twitter"
"West Link Business Park","","","3a, Westlink Business Park, Old Mallow Rd, Cork, T23 FW90, Ireland","(021) 432 3375","","https://www.facebook.com/WestLinkBusinessPark","https://www.instagram.com/westlinkbusinesspark","","No website, LinkedIn, or Twitter"
"Cork Internet eXchange / CloudCIX","ciso@cix.ie, noc@cix.ie","","Hollyhill Industrial Estate, Cork, T23 R68N, Ireland","(021) 237 3050","https://www.linkedin.com/company/cork-internet-exchange","https://www.facebook.com/CloudCIX","https://www.instagram.com/cloudcix","https://twitter.com/cloudcix","YT"
"Morgan McKinley Cork","southwest@morganmckinley.com","morganmckinley.com/ie","Penrose Two, Penrose Dock, Victorian Quarter, Cork, T23 YY09, Ireland","(021) 230 0300","https://www.linkedin.com/company/morgan-mckinley","https://www.facebook.com/morganmckinleyjobs","https://www.instagram.com/morganmckinleyglobal","https://twitter.com/MorganMcKinley","Global accounts; YT + TT"
